"name","body.weight","brain.weight"
"Lesser Short-tailed Shrew",5,.14
"Little Brown Bat",10,.25
"Mouse",23,.3
"Big Brown Bat",23,.4
"Musk Shrew",48,.33
"Star Nosed Mole",60,1
"Eastern American Mole",75,1.2
"Ground Squirrel",101,4
"Tree Shrew",104,2.5
"Golden Hamster",120,1
"Mole Rate",122,3
"Galago",200,5
"Rat",280,1.9
"Chinchilla",425,6.4
"Desert Hedgehog",550,2.4
"Rock Hyrax (a)",750,12.3
"European Hedgehog",785,3.5
"Tenrec",900,2.6
"Arctic Ground Squirrel",920,5.7
"African Giant Pouched Rat",1000,6.6
"Guinea Pig",1040,5.5
"Mountain Beaver",1350,8.1
"Slow Loris",1400,12.5
"Genet",1410,17.5
"Phalanger",1620,11.4
"North American Opossum",1700,6.3
"Tree Hyrax",2000,12.3
"Rabbit",2500,12.1
"Echidna",3000,25
"Cat",3300,25.6
"Artic Fox",3385,44.5
"Nine-banded Armadillo",3500,10.8
"Water Opossum",3500,3.9
"Rock Hyrax (b)",3600,21
"Red Fox",4235,50.4
"Raccoon",4288,39.2
"Roe Deer",14830,98.2
"Goat",27660,115
"Kangaroo",35000,56
"Gray Wolf",36330,119.5
"Sheep",55500,175
"Giant Armadillo",60000,81
"Gray Seal",85000,325
"Jaguar",100000,157
"Brazilian Tapir",160000,169
"Donkey",187100,419
"Pig",192000,180
"Protoceratops",200000,30
"Okapi",250000,490
"Camptosaurus",400000,46
"Cow",465000,423
"Horse",521000,655
"Giraffe",529000,680
"Stegosaurus",2e+06,56
"Allosaurus",2300000,335
"Asian Elephant",2547000,4603
"Anatosaurus",3400000,300
"Iguanodon",5e+06,250
"African Elephant",6654000,5712
"Tyrannosaurus",7700000,404
"Triceratops",9400000,140
"Diplodocus",11700000,100
"Blue Whale",58059000,6800
"Brachiosaurus",8.7e+07,309
